Trap,Cell,red,orange,green,round
1,0,2374.925,2804.83,3395.338,1
2,1,2479.907,17891.714,4301.167,1
3,1,2697.112,26810.541,4869.542,1
4,1,2526.847,22709.664,4027.539,1
5,0,2425.2,3178.87,3493.386,1
6,0,2436.784,3236.862,3905.682,1
7,1,2595.731,26976.555,4364.968,1
8,1,2430.636,20875.659,3597.912,1
9,1,2786.82,21291.672,5008.06,1
10,1,2414.188,15382.282,3503.206,1
11,1,2491.849,17266.812,4029.997,1
12,1,2514.735,11649.523,4266.679,1
13,1,2479.726,15762.808,3833.231,1
14,1,2487.19,19041.865,3849.575,1
15,1,2411.404,16496.627,3434.091,1
16,0,2386.573,4799.706,3361.706,1
17,1,2400.047,20232.917,3365.419,1
18,1,2374.953,17972.838,3368.828,1
19,1,2421.922,4944.724,3799.187,1
20,1,2411.021,14338.18,3577.373,1
21,1,2379.443,5842.649,3492.255,1
22,1,2390.817,15844.287,3352.268,1
23,0,2372.716,2940.084,3365.313,1
24,1,2393.838,16220.36,3440.977,1
25,1,2395.468,17926.948,3522.45,1
26,1,2540.461,17832.596,4563.583,1
27,1,2490.282,19969.521,3910.375,1
28,0,2396.489,3355.256,3369.945,1
29,0,2386.506,2797.019,3401.787,1
30,0,2406.269,7372.648,3380.081,1
31,1,2405.237,15075.685,3440.896,1
32,1,2655.713,22666.112,5426.769,1
33,1,2551.693,12460.089,4850.265,1
34,1,2392.815,9739.692,3402.239,1
35,1,2377.265,2972.33,3484.326,1
36,1,2402.58,11129.476,3425.693,1
37,0,2386.375,3679.744,3446.096,1
38,1,2390.88,15097.216,3509.396,1
39,1,2402.401,15162.42,3457.188,1
40,1,2386.653,10084.372,3419.674,1
41,1,2405.229,15065.765,3426.177,1
42,1,2451.107,24012.896,3566.458,1
43,1,2485.83,11641.597,4298.825,1
44,1,2528.461,22066.214,4344.425,1
45,1,2507.769,16347.256,4116.732,1
46,1,2430.177,5292.847,3523.513,1
47,1,2435.919,16708.211,3512.416,1
48,1,2393.203,3623.174,3411.417,1
49,1,2497.963,24645.485,3823.857,1
50,1,2619.821,17700.802,5094.69,1
51,1,2441.74,7549.713,3780.172,1
52,1,2529.932,27047.506,4072.946,1
53,1,2398.735,11417.304,3410.888,1
54,1,2392.951,3676.44,3492.791,1
55,1,2488.239,10405.312,3812.37,1
56,1,2375.649,10959.213,3365.315,1
57,0,2360.221,3339.541,3451.247,1
58,1,2455.843,8786.346,3969.891,1
59,0,2376.143,5358.607,3537.771,1
60,1,2478.912,20149.458,4167.87,1
61,0,2332.529,2744.907,3280.479,1
62,1,2374.195,6540.497,3295.232,1
63,1,2361.89,13181.352,3324.049,1
64,1,2396.813,10056.172,3344.828,1
65,1,2570.133,30350.187,4282.427,1
66,0,2343.56,4215.385,3332.42,1
67,1,2366.494,3302.206,3318.516,1
68,0,2388.719,2937.398,3375.612,1
69,1,2404.917,17038.987,3374.464,1
70,1,2480.838,21546.682,4069.924,1
71,0,2388.924,3374.623,3375.977,1
72,1,2600.187,30761.093,4403.125,1
73,1,2421.498,23226.433,3392.672,1
74,1,2426.328,16079.804,3573.388,1
75,1,2388.56,12959.235,3398.781,1
76,1,2449.951,22664.394,3575.813,1
77,1,2439.166,25154.07,3373.844,1
78,1,2405.81,9996.696,3401.333,1
79,1,2410.344,17789.14,3322.795,1
80,1,2450.867,23393.406,3379.429,1
1,0,2460.714,2791.448,3506.552,2
2,1,20992.742,5822.508,3952.14,2
3,1,17406.532,5527.292,4871.542,2
4,1,16612.596,4885.542,4080.834,2
5,0,5771.873,3181.518,3846.146,2
6,0,2695.162,3097.266,3906.334,2
7,1,22094.154,5621.166,4300.227,2
8,1,16346.359,4463.929,3626.451,2
9,1,14998.497,5842.763,5008.898,2
10,1,12616.391,3752.524,3526.825,2
11,1,11269.099,4107.662,4092.847,2
12,1,4502.359,3452.661,4275.591,2
13,1,9511.325,4055.656,3920.867,2
14,1,10431.93,4078.232,3849.886,2
15,1,12368.709,3009.568,3494.594,2
16,1,12833.602,3549.25,3459.119,2
17,1,16022.065,3957.511,3412.016,2
18,0,2815.602,2851.818,3445.82,2
19,1,2913.667,3043.875,3833.443,2
20,1,7664.906,3514.445,3605.338,2
21,1,3680.726,2956.674,3562.899,2
22,1,6860.672,3283.51,3410.019,2
23,0,2420.748,2777.386,3429.755,2
24,1,9648.495,3530.756,3492.648,2
25,1,13005.933,3995.169,4589.891,2
26,1,9383.088,4262.097,4456.144,2
27,1,18888.487,5800.174,3642.172,2
28,0,2622.159,2895.711,3578.399,2
29,0,2438.88,2938.536,3686.961,2
30,0,2646.231,2867.291,3549.706,2
31,1,8023.531,3244.919,3544.571,2
32,1,13473.568,4519.808,4973.122,2
33,1,6876.617,3721.274,4591.883,2
34,1,8118.221,3393.847,3547.429,2
35,0,2458.3,2888.87,3619.596,2
36,1,8032.705,3278.192,3543.849,2
37,0,2854.58,2808.815,3557.685,2
38,0,4719.157,3088.664,3669.101,2
39,1,12033.856,3726.385,3617.182,2
40,1,7735.14,3442.498,3535.654,2
41,1,16240.705,4320.393,3564.951,2
42,1,17438.138,4350.635,3696.807,2
43,1,9781.714,3964.875,4306.817,2
44,1,20544.562,6050.669,4220.136,2
45,1,9736.508,4187.557,4099.216,2
46,1,7920.05,3004.664,3911.291,2
47,1,2925.68,2971.784,3620.773,2
48,1,3108.774,2928.521,3735.192,2
49,1,20878.399,5055.325,3864.672,2
50,1,10316.644,4282.709,4791.339,2
51,1,4286.166,3113.69,3825.344,2
52,1,21180.292,5532.888,4048.943,2
53,0,2543.849,2885.505,3622.604,2
54,0,2491.385,2946.36,3718.381,2
55,1,5894.536,3441.325,3944.356,2
56,1,8048.419,3021.247,3690.893,2
57,0,2525.854,3052.229,3689.805,2
58,1,4630.807,3499.481,4167.446,2
59,0,3095.109,3041.33,3690.714,2
60,1,13023.404,4437.292,4288.591,2
61,0,2379.875,2755.528,3418.198,2
62,0,2612.235,2957.76,3763.641,2
63,1,19157.984,3768.932,3488.466,2
64,0,2688.659,2946.859,3765.008,2
65,1,30856.823,7541.049,4685.841,2
66,0,2782.68,2891.638,3550.083,2
67,0,2647.052,2953.83,3732.635,2
68,0,2456.373,2919.177,3663.786,2
69,1,11227.964,3717.076,3594.49,2
70,1,14933.42,4688.984,3973.756,2
71,0,2685.87,2886.823,3602.623,2
72,1,29294.669,7507.422,4777.646,2
73,1,17951.127,4743.787,3533.43,2
74,1,11551.893,3624.51,3689.006,2
75,1,9182.429,3636.17,3505.43,2
76,1,16561.255,4569.388,3684.252,2
77,1,19660.942,4660.047,3467.721,2
78,1,8779.36,3283.929,3479.018,2
79,1,13952.287,3993.386,3464.906,2
80,1,19094.667,4251.735,3483.362,2
1,0,2414.378,3033.894,3681.677,3
2,1,2703.222,4260.601,5307.974,3
3,1,3706.578,5836.312,9938.224,3
4,1,2900.227,4866.224,8840.31,3
5,0,2480.167,3608.833,4531.094,3
6,0,2470.005,3498.505,4078.791,3
7,1,3090.67,5096.698,8803.651,3
8,1,2558.13,4504.589,7361.469,3
9,1,3640.643,5854.378,8775.979,3
10,1,2514.339,4004.823,6803.031,3
11,1,2934.557,4457.141,6601.265,3
12,1,2859.797,3822.167,5152.01,3
13,1,2644.542,4213.307,6034.732,3
14,1,2704.549,4293.839,6270.078,3
15,1,2531.396,3398.984,9307.654,3
16,1,2478.696,3300.666,5510.795,3
17,1,2491.341,4116.537,6902.338,3
18,0,2392.128,3192.071,3722.114,3
19,1,2586.492,3377.054,4140.106,3
20,1,2604.383,3731.922,5137.115,3
21,1,2454.505,3272.677,4010.248,3
22,0,2385.45,3197.518,3653.786,3
23,1,2382.891,3212.412,3527.291,3
24,0,2472.972,3864.979,5139.909,3
25,1,3119.224,4388.339,8305.234,3
26,1,3074.459,4465.828,6475.055,3
27,1,2721.433,5733.099,7109.575,3
28,1,2450.737,3426.818,4090.281,3
29,0,2456.838,3449.365,3909.565,3
30,1,2490.153,3436.635,5706.067,3
31,1,2475.206,3669.112,5012.445,3
32,1,3477.062,4711.631,7752.961,3
33,1,3067.847,4164.58,5691.687,3
34,1,2547.731,3698.7,4733.166,3
35,0,2427.916,3450.57,3711.55,3
36,1,2467.977,3879.403,4915.851,3
37,0,2403.87,3265.982,3676.562,3
38,0,2440.51,3431.086,4292.476,3
39,1,2486.154,3876.732,6753.537,3
40,1,2465.7,3738.209,5176.768,3
41,1,2559.539,4382.106,5915.666,3
42,1,2539.237,4185.701,7149.805,3
43,1,2790.719,4202.034,5317.774,3
